table_name,column_name,data_type,column_default,is_nullable
planned_workouts,scheduled_time,time without time zone,null,YES
planned_workouts,workout_type,text,null,NO
planned_workouts,description,text,null,YES
planned_workouts,distance_target_meters,double precision,null,YES
planned_workouts,duration_target_seconds,integer,null,YES
planned_workouts,intensity_target,text,null,YES
planned_workouts,structured_workout,jsonb,null,YES
planned_workouts,status,text,'scheduled'::text,YES
planned_workouts,completed_activity_id,integer,null,YES
planned_workouts,agent_rationale,text,null,YES
planned_workouts,agent_decision_metadata,jsonb,null,YES
planned_workouts,notes,text,null,YES
planned_workouts,version,integer,1,YES
planned_workouts,created_at,timestamp with time zone,now(),YES
planned_workouts,updated_at,timestamp with time zone,now(),YES
sync_log,id,integer,nextval('sync_log_id_seq'::regclass),NO
sync_log,athlete_id,uuid,null,NO
sync_log,source,text,null,NO
sync_log,sync_type,text,null,NO
sync_log,last_synced_at,timestamp with time zone,null,NO
sync_log,records_fetched,integer,null,YES
sync_log,status,text,null,NO
sync_log,error_message,text,null,YES
sync_log,created_at,timestamp with time zone,now(),YES
training_phases,id,integer,nextval('training_phases_id_seq'::regclass),NO
training_phases,plan_id,integer,null,NO
training_phases,phase_name,text,null,NO
training_phases,phase_order,integer,null,NO
training_phases,start_date,date,null,NO
training_phases,end_date,date,null,NO
training_phases,weekly_volume_target,double precision,null,YES
training_phases,max_weekly_volume,double precision,null,YES
training_phases,max_long_run_distance,double precision,null,YES
training_phases,intensity_distribution,jsonb,null,YES
training_phases,scheduling_preferences,jsonb,null,YES
training_phases,description,text,null,YES
training_plans,id,integer,nextval('training_plans_id_seq'::regclass),NO
training_plans,athlete_id,uuid,null,NO
training_plans,goal_id,integer,null,YES
training_plans,name,text,null,NO
training_plans,start_date,date,null,NO
training_plans,end_date,date,null,NO
training_plans,plan_type,text,null,YES
training_plans,status,text,'draft'::text,YES
training_plans,created_by,text,null,YES
training_plans,created_at,timestamp with time zone,now(),YES
training_plans,updated_at,timestamp with time zone,now(),YES
weekly_plans,id,integer,nextval('weekly_plans_id_seq'::regclass),NO
weekly_plans,phase_id,integer,null,YES
weekly_plans,athlete_id,uuid,null,NO
weekly_plans,week_start_date,date,null,NO
weekly_plans,week_number,integer,null,YES
weekly_plans,weekly_volume_target,double precision,null,YES
weekly_plans,weekly_load_target,integer,null,YES
weekly_plans,status,text,'planned'::text,YES
weekly_plans,agent_rationale,text,null,YES
weekly_plans,agent_decision_metadata,jsonb,null,YES
weekly_plans,notes,text,null,YES
weekly_plans,created_at,timestamp with time zone,now(),YES
weekly_plans,updated_at,timestamp with time zone,now(),YES
workout_feedback,id,integer,nextval('workout_feedback_id_seq'::regclass),NO
workout_feedback,athlete_id,uuid,null,NO
workout_feedback,planned_workout_id,integer,null,YES
workout_feedback,activity_id,integer,null,YES
workout_feedback,felt_difficulty,integer,null,YES
workout_feedback,compared_to_plan,text,null,YES
workout_feedback,injury_concern,boolean,false,YES
workout_feedback,injury_description,text,null,YES
workout_feedback,fatigue_level,integer,null,YES
workout_feedback,sleep_quality,integer,null,YES
workout_feedback,what_worked_well,text,null,YES
workout_feedback,what_didnt_work,text,null,YES
workout_feedback,feedback_text,text,null,YES
workout_feedback,created_at,timestamp with time zone,now(),YES
workout_flags,id,integer,nextval('workout_flags_id_seq'::regclass),NO
workout_flags,planned_workout_id,integer,null,YES
workout_flags,activity_id,integer,null,YES
workout_flags,flag_type,text,null,NO
workout_flags,severity,text,null,NO
workout_flags,flag_data,jsonb,null,NO
workout_flags,acknowledged,boolean,false,YES
workout_flags,created_at,timestamp with time zone,now(),YES
workout_flags,athlete_id,uuid,null,YES
